Food,Calories,Protein,Carbs,Fats,Meal,Type,Veg/Non-Veg
Oatmeal,58,2.5,10,1.4,Breakfast,Base,Veg
Whole wheat porridge,375,14,78,1,Breakfast,Base,Veg
Granola,417,8,67,17,Breakfast,Side,Veg
Muesli,340,10,78,4.9,Breakfast,Base,Veg
Cornflakes,360,7,86,0.1,Breakfast,Base,Veg
Rice flakes (Poha),364,6.8,86.2,2,Breakfast,Base,Veg
Wheat flakes,330,11,60,1.8,Breakfast,Base,Veg
Barley porridge,310,11.5,65.8,2,Breakfast,Base,Veg
Millet porridge,180,5,27,2,Breakfast,Base,Veg
Semolina (Upma),208,6.5,38,4,Breakfast,Base,Veg
Chia pudding,106,4.6,12.5,4.3,Breakfast,Side,Veg
Quinoa bowl,143,5,26.3,2.2,Breakfast,Base,Veg
Cream of wheat,44,1.24,9,0.18,Breakfast,Base,Veg
Overnight oats,171,8.4,26,4,Breakfast,Base,Veg
Breakfast rice,135,2.5,28,1.07,Breakfast,Base,Veg
Scrambled eggs,149,10,2,11,Breakfast,Side,Non-Veg
Boiled eggs,155,13,1,11,Breakfast,Side,Non-Veg
Fried eggs,201,13,1,15,Breakfast,Side,Non-Veg
Poached eggs,144,12.5,1,9.4,Breakfast,Side,Non-Veg
Omelet,154,11,1,12,Breakfast,Side,Non-Veg
Scrambled egg sandwich,212,9.5,24.5,8,Breakfast,Base,Non-Veg
Deviled eggs,201,11.6,1.3,16,Breakfast,Side,Non-Veg
Egg muffins,166,6.7,24.8,4,Breakfast,Side,Non-Veg
Shakshuka ( tomato poached eggs),131,6,5,9,Breakfast,Base,Non-Veg
Breakfast burrito ,202,10.7,11.8,12,Breakfast,Base,Non-Veg
Bacon,468,34,1.7,35,Breakfast,Side,Non-Veg
Pork Sausages,287,15,1,25,Breakfast,Side,Non-Veg
Ham & cheese sandwich,241,14,23,10.6,Breakfast,Base,Veg
Pancakes,227,6,28,9,Breakfast,Base,Veg
Tofu scramble,103,7,3,8,Breakfast,Side,Veg
Toast with jam,293,7.5,56,3.6,Breakfast,Base,Veg
Peanut butter sandwich,368,13,41,18,Breakfast,Base,Veg
Avocado toast,184,4,21,12,Breakfast,Base,Veg
French toast,244,8.5,31,9,Breakfast,Base,Veg
Banana pancakes,199,5,25,8.6,Breakfast,Base,Veg
Waffles,310,7.3,49,9.5,Breakfast,Base,Veg
Crepes,224,8.7,22,11,Breakfast,Base,Veg
Bagels,257,10,50.5,1.6,Breakfast,Base,Veg
Croissants,406,8.2,45,21,Breakfast,Base,Veg
Doughnut,412,5.7,47,23,Breakfast,Base,Veg
Muffins,305,7.6,43.7,11,Breakfast,Base,Veg
Scones,353,9,45,15,Breakfast,Base,Veg
Biscuits/cookies,486,5.5,69,21,Breakfast,Side,Veg
Cinnamon sweet rolls,372,6.2,50.9,16,Breakfast,Base,Veg
Banana bread,277,4,47,8.4,Breakfast,Base,Veg
Idli,135,6,26,0.6,Breakfast,Base,Veg
Dosa,212,5,43,2,Breakfast,Base,Veg
Medu vada,309,13.7,42,10,Breakfast,Base,Veg
Uttapam,214,3.7,30,8.7,Breakfast,Base,Veg
Plain parantha ,325,6,48,11,Breakfast,Base,Veg
Chole bhature,142,3.5,17,7,Breakfast,Base,Veg
Misal pav,223,7,35,6,Breakfast,Base,Veg
Pav bhaji,107,2,12,6,Breakfast,Base,Veg
Pesarattu (Green gram dosa),271,12,39,8,Breakfast,Base,Veg
Vegetable roti,187,6,35,2,Breakfast,Base,Veg
Thepla,303,6.8,44,12,Breakfast,Base,Veg
Dhokla,300,14,46,7,Breakfast,Base,Veg
Kachori,270,10,35,10,Breakfast,Base,Veg
Litti chokha,144,5,25,3.4,Breakfast,Base,Veg
Sabudana khichdi,199,3,30,8,Breakfast,Base,Veg
Fruit salad,57,0.6,13,0.8,Breakfast,Side,Veg
Banana shake,92,2,21,0.6,Breakfast,Side,Veg
Fruit yoghurt,94,4.4,19,0.2,Breakfast,Side,Veg
Fruit toast,297,8.6,57,5,Breakfast,Side,Veg
Smoothie bowl,70,1,17,0,Breakfast,Base,Veg
Cottage cheese (Paneer),103,12,2.6,4.5,Breakfast,Side,Veg
Garlic bread,330,7,46,13,Breakfast,Side,Veg
Baked banana,127,1.2,33,0.3,Breakfast,Side,Veg
Buttermilk (Chaas),46,3,4,2,Breakfast,Side,Veg
Lassi (Sweet/Salted),76,2,12,2,Breakfast,Side,Veg
Milk & honey bread,261,7,52,2,Breakfast,Side,Veg
